fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
2022-01-01,Buenos Aires,Mujer,31.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,31.0,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2022-01-01,Ciudad Autónoma de Buenos Aires,Mujer,29.0,Boliviana,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,43.0,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,30.0,Paraguaya,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Santiago Del Estero,Mujer,27.0,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Santa Fe,Mujer,,,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
2022-01-01,Buenos Aires,Mujer,34.0,Paraguaya,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,31.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2022-01-01,Santa Fe,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Corrientes,Mujer,28.0,,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,
2022-01-01,Buenos Aires,Mujer,24.0,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,35.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Tucumán,Mujer,28.0,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,La Rioja,Mujer,29.0,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Río Negro,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2022-01-01,Corrientes,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
